word,normalized_word,frequency
संवेदनशीलता,संवेदनशीलता,6
सुधाकर,सुधाकर,6
अस्,अस्त,6
पूरब,पूरब,6
माँगकर,माँगकर,6
रखिए,रखिए,6
जला,जला,6
अच्,अच्छ,6
धसंंह,धसंसह,6
प्रतिभा,प्रतिभा,6
अथववा,अथवा,6
प्रभावित,प्रभावित,6
कमजोर,कमजोर,6
खोलकर,खोलकर,6
महात्मा,महात्मा,6
वष,वर्ष,6
उमड़,उमड़,6
संधया,संध्या,6
खड़,खड़ा,6
पत्ा,पत्ता,6
बेचारे,बेचारे,6
तूफ़ान,तूफान,6
चिह,चिह्न,6
प्रक्रियया,प्रक्रिया,6
अभिव््यक्,अभिव्यक्ति,6
रेबिन,रेबिन,6
प्रत्यूष,प्रत्यूष,6
संयोजक,संयोजक,6
विरुद्ध,विरुद्ध,6
अकसर,अक्सर,6
थम,थम,6
स्वागत,स्वागत,6
संभावना,संभावना,6
अभयारणय,अभयारण्य,6
परिस््थथिति,परिस्थिति,6
संवैधानिक,संवैधानिक,6
प्रययास,प्रयास,6
स््थथापित,स्थापित,6
दही,दही,6
बढ़ाने,बढ़ाने,6
दृढ़ता,दृढ़ता,6
नहा,नहा,6
लेगा,लेगा,6
घुमड़,घुमड़,6
ससे,से,6
उगे,उगे,6
मैंडेट,मैंडेट,6
कूड़न,कूड़ा,6
सच्ची,सच्ची,6
चमकता,चमकता,6
चाचू,चाचू,6
संध्या,संध्या,6
कंबल,कंबल,6
दिशाएँ,दिशाएँ,6
असीम,असीम,6
दीवानी,दीवानी,6
वकील,वकील,6
सितार,सितार,6
संवाददाता,संवाददाता,6
सारंगी,सारंगी,6
गौरैयोंंं,गौरैयों,6
बर्लिन,बर्लिन,6
लोमड़ी,लोमड़ी,6
माँगा,माँगा,6
रखनी,रखनी,6
पंतत,पतंग,6
शिक्षाविद,शिक्षाविद,6
मामी,मामी,6
दीदी,दीदी,6
थाथान,स्थान,6
कली,कली,6
हिंदू,हिंदू,6
स्टूडियो,स्टूडियो,6
परंपराएँ,परंपराएँ,6
स््वदेश,स्वदेश,6
भा,भा,6
सत््य,सत्य,6
दैत्य,दैत्य,6
तात,तात,6
किशोर,किशोर,6
सतंभों,स्तंभों,6
पढ़ना,पढ़ना,6
त्याग,त्याग,6
वीडियो,वीडियो,6
पयार्वरण,पर्यावरण,6
सहपािठयों,सहपाठियों,6
छोटटा,छोटा,6
पहुँची,पहुँची,6
कुर्सी,कुर्सी,6
धान,धान,6
अपेक्ा,अपेक्षा,6
राख,राख,6
काव्य,काव्य,6
बैंगन,बैंगन,6
इंडियन,इंडियन,6
पहने,पहने,6
व््यक्त,व्यक्त,6
प्ेमचंद,प्रेमचंद,6
मानस,मानस,6
शताबदी,शताब्दी,6
गिरना,गिरना,6
खात,खात,6
धागे,धागे,6
कुलपति,कुलपति,6
नगरी,नगरी,6
शीषर्क,शीर्षक,6
उपसगर्,उपसर्ग,6
प्रजा,प्रजा,6
पताल,पाताल,6
भट्ट,भट्ट,6
गाकर,गाकर,6
श्ीप्रसाद,श्रीप्रसाद,6
भीड़,भीड़,6
विक्रमादितय,विक्रमादित्य,6
टता,टाटा,6
डाँडी,डांडी,6
शिमला,शिमला,6
प्रधानाचार्य,प्रधानाचार्य,6
उलट,उलटा,6
डरो,डरो,6
त्ोहार,त्योहार,6
अौर,और,6
कहािनयों,कहानियों,6
रवार,रविवार,6
पुषप,पुष्प,6
अंितम,अंतिम,6
टर्र,तर्र,6
पीकर,पीकर,6
दानी,दानी,6
शहरोंों,शहरों,6
सीखेंगे,सीखेंगे,6
प्रोत्साहितत,प्रोत्साहित,6
समन्वयक,समन्वयक,6
उनहीं,उन्हीं,6
हायय,हाय,6
बिनु,बिन,6
देखूँ,देखूं,6
परस्पर,परस्पर,6
घंटी,घंटी,6
टपप,टप्प,6
आकाशवाणी,आकाशवाणी,6
टीला,टीला,6
सकतती,सकती,6
चेन्नई,चेन्नई,6
पढ़ेंगे,पढ़ेंगे,6
रंजना,रंजना,6
नवययुवक,नवयुवक,6
तिरछी,तिरछी,6
थाथा,था,6
नेह,नेह,6
बाँधा,बांधा,6
अवश््य,अवश्य,6
वषर्,वर्ष,6
पहचािनए,पहचानिए,6
सिम्मिलत,सम्मिलित,6
पलंग,पलंग,6
मिठाइयाँ,मिठाइयां,6
लका,लगा,6
तीसरे,तीसरे,6
कलाकृतियाँ,कलाकृतियां,6
अनंत,अनंत,6
भोग,भोग,6
खेलता,खेलता,6
मजा,मज़ा,6
आँसुओं,आंसुओं,6
दर्ज़ी,दर्जी,6
होटल,होटल,6
नाटकों,नाटकों,6
कमर,कमर,6
रसगुलला,रसगुल्ला,6
घोर,घोर,6
मोटे,मोटे,6
विमल,विमल,6
साँच,सांच,6
रामायण,रामायण,6
यज्ञ,यज्ञ,6
हरेक,हरेक,6
नष्,नष्ट,6
महाराष्,महाराष्ट्र,6
र्य,रु,6
सोए,सोए,6
असंभव,असंभव,6
बदन,बदन,6
पदद,पदयात्रा,6
कौवे,कौवे,6
दास,दास,6
मुझ,मुझ,6
जयादा,ज्यादा,6
मातृृभाषा,मातृभाषा,6
चततुर,चतुर,6
कुतर,कुत्ता,6
मूल्य,मूल्य,6
पकड़ने,पकड़ने,6
सच्चा,सच्चा,6
राजू,राजू,6
फीका,फीका,6
सांस्कृतिक,सांस्कृतिक,6
आँखोंं,आँखों,6
खींच,खींच,6
सवसथ,स्वस्थ,6
बरफ़ी,बर्फी,6
गुलाबजामुन,गुलाबजामुन,6
विलायती,विलायती,6
घरेलू,घरेलू,6
माँगी,माँगी,6
कानपुर,कानपुर,6
भूरी,भूरी,6
पचास,पचास,6
सफ़ेद,सफेद,6
चित्ातमक,चिंतात्मक,6
आतमबल,आत्मबल,6
मुयूल्य,मूल्य,6
ह़ोगा,होगा,6
परसों,परसों,6
पड़ने,पढ़ने,6
सकूँ,सकूं,6
टॉप,टॉप,6
भाजी,भाजी,6
गुड़़ि,गुड़िया,6
वपूर््ण,पूर्ण,6
पर्याप्त,पर्याप्त,5
अनुशंसा,अनुशंसा,5
रचनातमक,रचनात्मक,5
संभवतः,संभवतः,5
कद,कद,5
राजधानी,राजधानी,5
बौद्धिक,बौद्धिक,5
फॉॉर,फॉर,5
रोटियाँ,रोटियाँ,5
अभिनंदन,अभिनंदन,5
भूिमका,भूमिका,5
प्रस्तुतीकरण,प्रस्तुतीकरण,5
फुट,फुट,5
ठिठुरकर,ठिठुरकर,5
वृक्षों,वृक्षों,5
संकलन,संकलन,5
चिड़ियाँ,चिड़ियाँ,5
दौड़ा,दौड़ा,5
साफ़,साफ़,5
रखो,रखो,5
चीजों,चीजों,5
समावेशी,समावेशी,5
निम्नम्नलिखितत,निम्नलिखित,5
टूटा,टूटा,5
प्ातःकाल,प्रातःकाल,5
स््ववीवीकार,स्वीकार,5
विभाजित,विभाजित,5
अमरूद,अमरूद,5
कठोरता,कठोरता,5
सेवकों,सेवकों,5
सरायय,सराय,5
मोड़,मोड़,5
खयाल,खयाल,5
गरीबों,गरीबों,5
अपाहिज,अपाहिज,5
चढ़ा,चढ़ा,5
लगाम,लगाम,5
वर्ततन,वर्तन,5
भर्इ,भाई,5
नयनों,नयनों,5
कलम,कलम,5
तकलीफ,तकलीफ,5
स्तार,स्तर,5
हा,हा,5
धा,धा,5
लहरों,लहरों,5
उत्तराखंड,उत्तराखंड,5
तितली,तितली,5
उपमा,उपमा,5
आशीर्वाद,आशीर्वाद,5
फाटक,फाटक,5
प्रतीत,प्रतीत,5
रोने,रोने,5
डालने,डालने,5
पूर््वपद,पूर्वपद,5
उत्तरपद,उत्तरपद,5
तनी,तनी,5
विज्ञापन,विज्ञापन,5
पच्छछिमी,पच्छिमी,5
बाँसुरी,बाँसुरी,5
गेंदद,गेंद,5
गिरने,गिरने,5
होय,होय,5
अनन,अनन,5
तरुवर,तरुवर,5
सरवर,सरवर,5
हित,हित,5
करतीं,करतीं,5
खूबसूरत,खूबसूरत,5
जादू,जादू,5
प्रचार,प्रचार,5
भागवत,भागवत,5
संक्ेप,संक्षेप,5
छिटकाय,छिटकाया,5
टूटे,टूटे,5
देहहली,देहली,5
बारंबार,बारंबार,5
दयालु,दयालु,5
उँगली,उँगली,5
फुलारी,फुलवारी,5
कश्मीरी,कश्मीरी,5
स्वार्थथ,स्वार्थ,5
बनाओ,बनाओ,5
बनेगा,बनेगा,5
भोली,भोली,5
घेरे,घेरे,5
ठभूमि,भूमि,5
आमने,आमने,5
आपपने,अपने,5
जीतने,जीतने,5
सृष्,सृष्टि,5
मास,मास,5
मृतयु,मृत्यु,5
कपाल,कपाल,5
सामानय,सामान्य,5
आठठ,आठ,5
डमरू,डमरू,5
सने,सने,5
लोकप्रियय,लोकप्रिय,5
पाठठ्यपुस्,पाठ्यपुस्तक,5
मनभावन,मनभावन,5
सैनिकों,सैनिकों,5
साठ,साठ,5
ढोलक,ढोलक,5
त्रोंंं,त्रों,5
यात्री,यात्री,5
किले,किले,5
बजाते,बजाते,5
उपलब्धब्ध,उपलब्ध,5
विशवास,विश्वास,5
कथाएँ,कथाएँ,5
छुट्ी,छुट्टी,5
पाी,पानी,5
संकल्प,संकल्प,5
बेल,बेल,5
सलाद,सलाद,5
मित्ररोंों,मित्रों,5
बातेंं,बातें,5
प्यास,प्यास,5
प्रययुक्त,प्रयुक्त,5
बड़,बड़,5
वयापार,व्यापार,5
पुनर्विक्रय,पुनर्विक्रय,5
निज,निज,5
भंग,भंग,5
वास्तव,वास्तव,5
सिक्किम,सिक्किम,5
चच,चर्च,5
स्ानों,स्थानों,5
मुखौटा,मुखौटा,5
कनिष्,कनिष्ठ,5
पद्म,पद्म,5
इक,एक,5
जोता,जोत,5
मुाँ,मुँह,5
संदर्भों,संदर्भों,5
उनकाी,उनकी,5
जलाए,जलाए,5
प्रदर््शशित,प्रदर्शित,5
मरा,मरा,5
दशक,दशक,5
संग्ाम,संग्राम,5
शैक्षणिक,शैक्षणिक,5
भाजीजी,भाजी,5
चुनेंगे,चुनेंगे,5
औरतें,औरतें,5
बसता,बस्ता,5
कहाँँ,कहाँ,5
मानकर,मानकर,5
संस्ककृत,संस्कृत,5
रीडर,रीडर,5
अभावव,अभाव,5
चलाते,चलाते,5
ठन,ठन,5
लंका,लंका,5
त़ो,तो,5
प्रत्य़ेका,प्रत्येक,5
कलाओं,कलाओं,5
इत,इति,5
तरकारी,तरकारी,5
शारदा,शारदा,5
बिटिया,बिटिया,5
दर्शन,दर्शन,5
टैक्स,टैक्स,5
गो,गो,5
बजाया,बजाया,5
ओह,ओह,5
कारें,कारें,5
पटेल,पटेल,5
मुश््ककिल,मुश्किल,5
बढ़ाने,बढ़ाने,5
माहौल,माहौल,5
बैकबोन,बैकबोन,5
ओड़,ओढ़,5
विदेश,विदेश,5
पत,पथ,5
तरहह,तरह,5
तरुणों,तरुणों,5
संमुृद्ध,समृद्ध,5
ब्रह्मपुत्र,ब्रह्मपुत्र,5
ततिययाँ,तितलियाँ,5
जातते,जाते,5
महाभारत,महाभारत,5
उमंग,उमंग,5
वेग,वेग,5
पर््यावरण,पर्यावरण,5
संददर्भ,संदर्भ,5
ढूँढ़़िए,ढूँढ़िए,5
समर््पण,समर्पण,5
दादीजी,दादीजी,5
अपूर््णता,अपूर्णता,5
अपूर््व,अपूर्व,5
रखत़े,रखते,5
भुलैया,भुलैया,5
पुस्तकमाला,पुस्तकमाला,5
ट्रॉिनकी,ट्रॉली,5
लेखकों,लेखकों,5
पाररव़ेश,परिवेश,5
पत्रिकाओं,पत्रिकाओं,5
कुत्ते,कुत्ते,5
वयवहार,व्यवहार,5
अनुपम,अनुपम,5
घटटनाओं,घटनाओं,5
सामान्,सामान,5
मक््खन,मक्खन,5
हमुाऱे,हमारे,5
भयो,हयो,5
गैयन,गायन,5
तलाश,तलाश,5
मिलाया,मिलाया,5
ठे,थे,5
कपड़ों,कपड़ों,5
सिलक,सिल्क,5
ववालों,वालों,5
अली,अली,5
सिंधु,सिंधु,5
डाकिया,डाकिया,5
डरा,डरा,5
निकली,निकली,5
बिखरे,बिखरे,5
गीतत,गीत,5
प्रत,पथ,5
भोरी,भोली,5
स््ववयं,स्वयं,5
धम्म,धम्म,5
चार्ट,चार्ट,5
इनको,इनको,5
कुटीर,कुटीर,5
उद्योग,उद्योग,5
तानसेन,तानसेन,5
एसोसिएट,एसोसिएट,5
तुम््हहाहारे,तुम्हारे,5
चित्रित,चित्रित,5
डरता,डरता,5
थथी,थी,5
संामुग्री,सामग्री,5
सिखाती,सिखाती,5
बिछा,बिछा,5
जलाकर,जलाकर,5
ह़ोऩे,होने,5
ट्वयं,स्वयं,5
चौंक,चौंक,5
पात्ों,पातों,5
डरकर,डरकर,5
संपूर्ण,संपूर्ण,5
प्राथमिक,प्राथमिक,5
अच्े,अच्छे,5
पलट,पलट,5
जातती,जानती,5
रामतीर््थ,रामतीर्थ,5
रहह,रहा,5
ठंडे,ठंडे,5
अखबार,अखबार,5
छीको,छींक,5
संृजनात्मुका,सृजनात्मक,5
धवकाधसंत,ध्विकाधसंत,5
भेजना,भेजना,5
द़ेत़े,देते,5
चर््य,चर्चा,5
भावनना,भावना,5
लड़कियाँ,लड़कियाँ,5
चुनौतियों,चुनौतियों,5
आश्रम,आश्रम,5
चलनना,चलना,5
खाटट,खाट,5
नाक,नाक,5
दाएँ,दाएँ,5
बाएँ,बाएँ,5
ह़ेतु,हेतु,5
ह़ोती,होती,5
पढ़े,पढ़े,5
कीचड़,कीचड़,5
कुत्ता,कुत्ता,5
का्,का,5
रखनने,रखने,5
वयावहारिक,व्यावहारिक,5
कागज़,कागज़,5
पहनकर,पहनकर,5
होंंं,हों,5
फाग,फाग,5
प्रदर्शित,प्रदर्शित,5
अकेलेपन,अकेलेपन,5
बल्ककि,बल्कि,5
फटा,फटा,5
परिजन,परिजन,5
छतरी,छतरी,5
खीरा,खीरा,5
पाठ्यपुसतक,पाठ्यपुस्तक,5
रुई,रुई,5
इंद्रधनुष,इंद्रधनुष,5
रोटटी,रोटी,5
अशरफ़,अशरफ,5
अननुभवव,अनुभव,5
आैर,और,5
आपनने,आपने,5
विद्ा,विद्या,5
कृत्रिम,कृत्रिम,5
घुटने,घुटने,5
क्ष़े,क्षेत्र,5
नज़र,नज़र,5
हैट,हैट,5
अपनना,अपना,5
दीन,दीन,5
तिनका,तिनका,5
चौदह,चौदह,5
जंतर,जंतर,5
मंतर,मंतर,5
गार्डडिननर,गार्डन,5
जमीनन,जमीन,5
बनाऊँगी,बनाऊँगी,5
होलिका,होलिका,5
लाइए,लाइए,5
संगीतकारों,संगीतकारों,5
मानता,मान्यता,5
पवित्रता,पवित्रता,5
आटा,आटा,5
फ़़ोन,फ़ोन,5
हँसता,हँसता,5
मातता,माता,5
तार््ककिक,तार्किक,5
दर्शनीय,दर्शनीय,5
इसरो,इसरो,5
श्रीनगर,श्रीनगर,5
दानों,दानों,5
कीिजए,कीजिए,5
वर््ण,वर्ण,5
छोड़ने,छोड़ने,5
निश्चय,निश्चय,5
परमात्मा,परमात्मा,5
संहायका,सहायिका,5
डराती,डराती,5
उन्हेंंं,उन्हें,5
विभिन््न,विभिन्न,5
प्ारे,प्यारे,5
ययुववा,युवा,5
पेंसिल,पेंसिल,5
याचना,याचना,5
कैथल,कैथल,5
चचों,बच्चों,5
नीरा,नीरा,5
अभिमान,अभिमान,5
एवंं,एवं,5
संतों,संतों,5
उत््सव,उत्सव,5
चर,चर,5
चलन,चलन,5
विषम,विषम,5
बेचारा,बेचारा,5
मनुष्,मनुष्य,5
अपराध,अपराध,5
ताजमहल,ताजमहल,5
डालें,डालें,5
कनखजूरा,कनखजूरा,5
उललेख,उल्लेख,5
परम,परम,5
मसतक,मस्तक,5
भयानक,भयानक,5
सदी,सदी,5
शिला,शिला,5
चूरमा,चूरमा,5
पतता,पतता,5
अंततरिक्ष,अंतरिक्ष,5
पाँचवें,पाँचवें,5
ट्रपति,त्रिपति,5
सदस््यों,सदस्यों,5
सभ््यता,सभ्यता,5
पदुमलाल,पद्मलाल,5
उठने,उठने,5
नटखट,नटखट,5
बेवकूफ,बेवकूफ,5
कवियत्री,कवयित्री,5
महलों,महलों,5
जहाज़,जहाज़,5
मुहावरा,मुहावरा,5
धरोहर,धरोहर,5
मोरा,मोरा,5
रहमान,रहमान,5
लेनने,लेने,5
जनपद,जनपद,5
गोमुख,गोमुख,5
बढ़ने,बढ़ने,5
प्रायः,प्रायः,5
अकेली,अकेली,5
गोपाल,गोपाल,5
झुककर,झुककर,5
कीट,कीट,5
आवन,आवरण,5
जरूरी,ज़रूरी,5
जाओगे,जाओगे,5
पर्वतोंं,पर्वतों,5
सकतता,सकता,5
चचंंद्र,चंद्र,5
रक्षक,रक्षक,5
चकोरा,चकोर,5
मनुषय,मनुष्य,5
तुमम,तुम,5
समीर,समीर,5
ज््,जा,5
उसतरा,उस्तरा,5
बसो,बसो,5
मूरित,मूर्ति,5
सूरित,सूरित,5
मिजाज,मिज़ाज,5
शिवव,शिव,5
दक्षिणी,दक्षिणी,5
अजंतता,अज्ञातता,5
प्ाकृतिक,प्राकृतिक,5
जले,जले,5
वैजंती,विजयंत,5
क्षुद्र,क्षुद्र,5
घंिटका,घंटिका,5
प्ारंभ,प्रारंभ,5
अवधारणा,अवधारणा,5
आनंदमय,आनंदमय,5
कसकर,कसकर,5
हिंददी,हिंदी,5
अशर्फिययाँ,अशर्फियाँ,5
सद्,सत्,5
आवश्यकताओं,आवश्यकताओं,5
बर््तन,बर्तन,5
जिज्ासा,जिज्ञासा,5
सुनाया,सुनाया,5
संभाजीनगर,संभाजीनगर,5
उतरने,उतरने,5
अनुप्रास,अनुप्रास,5
नहर,नहर,5
पाएगा,पाएगा,5
युगल,युगल,5
अंचल,अंचल,5
शुभ्र,शुभ्र,5
जन्मदिवस,जन्मदिवस,5
तथापि,तथापि,5
आसानी,आसानी,5
काँजीहाउस,कांजीहाउस,5
ममन,मन,5
तरल,तरल,5
द्रवय,द्रव्य,5
आबद्ध,आबद्ध,5
दौड़कर,दौड़कर,5
रचित,रचित,5
तीर्थथ,तीर्थ,5
पंडे,पंडे,5
कनखल,कनखल,5
लक्षणण,लक्षण,5
ददो,दो,5
रुके,रुके,5
नृत्यांगना,नृत्यांगना,5
सोचो,सोचो,5
पारस,पारस,5
अग्रसर,अग्रसर,5
सवतंत्रता,स्वतंत्रता,5
रिपोर््ट,रिपोर्ट,5
भगवानपुर,भगवानपुर,5
प्ाचीन,प्राचीन,5
ग्रहणण,ग्रहण,5
पहलुओं,पहलुओं,5
हालाँकि,हालाँकि,5
कैंची,कैंची,5
लिमिटेड,लिमिटेड,5
भृगुपति,भृगुपति,5
चाहा,चाहा,5
प्रीित,प्रीति,5
उद्ेश््य,उद्देश्य,5
स्थापना,स्थापना,5
खोले,खोले,5
घबराकर,घबराकर,5
खेलकर,खेलकर,5
प्रसन्,प्रसन्न,5
थोड़़ा,थोड़ा,5
टू,टू,5
तीव्रता,तीव्रता,5
चिह्नित,चिह्नित,5
पपंक्,पंक,5
सृष््,सृष्टि,5
परिचर््चचा,परिचर्चा,5
मध््य,मध्य,5
मुसकराते,मुस्कराते,5
चंद्रन,चंद्रन,5
मोिहनीअट्टम,मोहिनीअट्टम,5
एकल,एकल,5
समनवयक,समन्वयक,5
पद्धतियों,पद्धतियों,5
पारंप,पारंपरिक,5
संतुष्ट,संतुष्ट,5
एगा,एगा,5
शांं,शांत,5
अर््थथात,अर्थात,5
किनके,किनके,5
लोगोंों,लोगों,5
ष्कर्षष,निष्कर्ष,5
रक्षा,रक्षा,5
रिस,रिस,5
पाठकों,पाठकों,5
संचय,संचय,5
खाड़ी,खाड़ी,5
प्रभाकर,प्रभाकर,5
तपस्या,तपस्या,5
काननपुर,कानपुर,5
कृपा,कृपा,5
स््ववाभिमान,स्वाभिमान,5
पराधीनता,पराधीनता,5
मछुआरा,मछुआरा,5
यद्,यदि,5
आऊँगा,आऊँगा,5
गूँज,गूँज,5
सम््ममानित,सम्मानित,5
अंतर््गतत,अंतरगत,5
आश्रय,आश्रय,5
विव,विव,5
कुिचपुड़ी,कुचिपुड़ी,5
श्रेया,श्रेया,5
जमाना,जमाना,5
स्वययं,स्वयं,5
चत,चत,5
कानन,कानन,5
गंडा,गंदा,5
वीरों,वीरों,5
बिनना,बुनना,5
अधर,अधर,5
आनने,आने,5
किथ,कित्थ,5
मामूली,मामूली,5
प्रेमम,प्रेम,5
गाड़ी,गाड़ी,5
उपासना,उपासना,5
बाहरी,बाहरी,5
प्रमुखता,प्रमुखता,5
मनहर,मनहर,5
सर्दियों,सर्दियों,5
चोंच,चोंच,5
दोबारा,दोबारा,5
भरने,भरने,5
ललित,ललित,5
पुस््तकों,पुस्तकों,5
बेर,बेर,5
जयय,जय,5
पक्षीक्षी,पक्षी,5
कुश्ती,कुश्ती,5
थोड़े,थोड़े,5
घन,घन,5
नर,नर,5
नारी,नारी,5
तृृण,तृण,5
वतर्मान,वर्तमान,5
वाद्ययंत्र,वाद्ययंत्र,5
कठिनन,कठिन,5
संिदग्ध,संदिग्ध,5
ऐप,ऐप,5
रहित,रहित,5
झरना,झरना,5
गला,गला,5
निवेदन,निवेदन,5
बिल्ली,बिल्ली,5
स्वगग,स्वर्ग,5
येक,यह,5
घनघोर,घनघोर,5
पाकर,पाकर,5
यधिक,यदि,5
अथक,अथक,5
हिमम,हिम,5
सेक्टर,सेक्टर,5
एक्,एक,5
ज्ञ,ज्ञ,5
ढूँि,ढूँढी,5
पुरसकार,पुरस्कार,5
काटो,काटो,5
प्रभात,प्रभात,5
पर््वत,पर्वत,5
सखा,सखा,5
पर्यवेक्षण,पर्यवेक्षण,5
पश््,पश्चात्,5
सुझाइए,सुझाइए,5
पावै,पावें,5
ओंकार,ओंकार,5
खजाना,खजाना,5
ममुखरे,मुखरे,5
उगने,उगने,5
चलेगा,चलेगा,5
प्रयत्,प्रयत्न,5
फैली,फैली,5
फाल्,फैल,5
गुन,गुण,5
चित्रण,चित्रण,5
युग्म,युग्म,5
ययुग््म,युग्म,5
हद,हद,5
महाशय,महाशय,5
विस््ततार,विस्तार,5
रंगमंच,रंगमंच,5
घने,घने,5
जातता,ज्ञातता,5
यद्यपि,यद्यपि,5
भाषाई,भाषाई,5
सहेली,सहेली,5
खेलती,खेलती,5
कंघी,कंघी,5
खाती,खाती,5
हेली,हेली,5
ट्रस्ट,ट्रस्ट,5
पनि,पानी,5
हटी,हटी,5
कॉॉम्,कॉम,5
करण,करण,5
पुनर्मुद्रण,पुनर्मुद्रण,5
दबे,दबे,5
विनती,विनती,5
नसर्,नर्स,5
हथेली,हथेली,5
बरसता,बरसता,5
घेरकर,घेरकर,5
ढूँढ़ने,ढूँढ़ने,5
प्रयत्न,प्रयत्न,5
भिन््न,भिन्न,5
हिं,हिं,5
मक्,मक,5
लेट,लेट,5
लेटा,लेटा,5
अनिल,अनिल,5
तैर,तैर,5
भागी,भागी,5
अथ,अथ,5
पीना,पीना,5
बरसते,बरसते,5
उँगलियों,उंगलियों,5
टिक,टिक,5
अलगग,अलग,5
वामन,वामन,5
प्रतियोगिता,प्रतियोगिता,5
शब्दोंं,शब्दों,5
प्रार््थना,प्रार्थना,5
टाइपिसट,टाइपिस्ट,5
ययान,यान,5
लेक्स,लेक्स,5
छाए,छाए,5
ठंडक,ठंडक,5
मगन,मगन,5
संसाधन,संसाधन,5
अस्पताल,अस्पताल,5
टर,टर,5
दयाल,दयाल,5
संस्तुतियों,संस्तुतियों,5
बैरी,बैरी,5
गाजर,गाजर,5
मिशेल,मिशेल,5
डैनिनो,डैनिनो,5
संजीव,संजीव,5
सान्याल,सान्याल,5
सूर्योदय,सूर्योदय,5
इत््ययादि,इत्यादि,5
ततित्व,तत्व,5
दिखते,दिखते,5
शिक्,शिक,5
प्रदशर्न,प्रदर्शन,5
खेली,खेली,5
तकनीक,तकनीक,5
original_word,normalized_word,
स्वच्छ,स्वच्छ,5.0
प्रखर,प्रखर,5.0
साहित्,साहित्य,5.0
लल,लाल,5.0
दशा,दशा,5.0
भौतिक,भौतिक,5.0
कोष्,कोष,5.0
ठक,ठाक,5.0
पाठठ्यक्रम,पाठ्यक्रम,5.0
उतकृष्ट,उत्कृष्ट,5.0
झम,झाम,5.0
गीला,गीला,5.0
धो,धो,5.0
सवाद,स्वाद,5.0
सरमन,शर्मन,5.0
प्रूफरीडर,प्रूफरीडर,5.0
जनता,जनता,5.0
नक्षत्र,नक्षत्र,5.0
प्रतिष्,प्रतिष्ठ,5.0
अत्यंतत,अत्यंत,5.0
वार,वार,5.0
प्रेमी,प्रेमी,5.0
बिबेक,विवेक,5.0
फुले,फूले,5.0
नाचना,नाचना,5.0
जोड़ने,जोड़ने,5.0
रश्मि,रश्मि,5.0
जानकार,जानकार,5.0
उभर,उभरा,5.0
गितिविधयों,गतिविधियों,5.0
प्रबल,प्रबल,5.0
हितधारकों,हितधारकों,5.0
टिप्पणियों,टिप्पणियां,5.0
बुराई,बुराई,5.0
असिस््टेंट,असिस्टेंट,5.0
सुरिभ,सुगंध,5.0
ततथापि,तथापि,5.0
सुविधाओं,सुविधाओं,5.0
हिरणों,हिरणों,5.0
जंगलों,जंगलों,5.0
रुचिकर,रुचिकर,5.0
दिलाने,दिलाने,5.0
प्ाथमिक,प्राथमिक,5.0
अनुपालन,अनुपालन,5.0
भोज,भोज,5.0
हालात,हालात,5.0
छुटकारा,छुटकारा,5.0
तकनीकी,तकनीकी,5.0
सदय,सदस्य,5.0
धकका,धक्का,5.0
लायक,लायक,5
भक्षक,भक्षक,5
व्यंग्य,व्यंग्य,5
जिन्होंने,जिन्होंने,5
अपेक्षाओं,अपेक्षाओं,5
संशोधनों,संशोधनों,5
पाँय,पाँय,5
नियरे,नियरे,5
झूले,झूले,5
लौटते,लौटते,5
निर्धारित,निर्धारित,5
अम्मा,अम्मा,5
सौंदर््यबोध,सौंदर्यबोध,5
महिलाओं,महिलाओं,5
साथियो,साथियों,5
दुबारा,दुबारा,5
हल्के,हल्के,5
सौंदयर्,सौंदर्य,5
सथानीय,स्थानीय,5
वाद्य,वाद्य,5
कुटी,कुटी,5
साधू,साधु,5
सुभाय,स्वभाव,5
तहवाँ,तहवाँ,5
ग्रुप,ग्रुप,5
दिखाएँ,दिखाएँ,5
सीधी,सीधी,5
नाि,नाई,5
कूदकर,कूदकर,5
बाक,बाकी,5
क्योंिक,क्योंकि,5
उठाई,उठाई,5
अननुसार,अनुसार,5
एकाध,एकाध,5
उछलकर,उछलकर,5
अंकों,अंकों,5
रुका,रुका,5
रत,रत,5
भरतनाट्यम,भरतनाट्यम,5
मार््गदर््शन,मार्गदर्शन,5
चटनी,चटनी,5
दोस्त,दोस्त,5
एकित्रत,इकट्ठा,5
ठेले,ठेले,5
संघषर्,संघर्ष,5
ठिठुर,ठिठुर,5
दैिनक,दैनिक,5
समस्याओं,समस्याओं,5
प्रत्,प्रति,5
प्रकाशकों,प्रकाशकों,5
प्रतिफलों,प्रतिफलों,5
दाम,दाम,5
लड़ाई,लड़ाई,5
क्रमशः,क्रमशः,5
खली,खाली,5
उठना,उठना,5
असुरक्षित,असुरक्षित,5
फाड़,फाड़,5
बसन,वसन,5
अनूठा,अनूठा,5
पहुँचाने,पहुँचाने,5
अप्रैल,अप्रैल,5
बाबाजी,बाबाजी,5
नकल,नकल,5
दिसंबर,दिसंबर,5
छोड़ो,छोड़ो,5
व््ययंयंग््यय,व्यंग्य,5
खिलखिल,खिलखिला,5
धर,धार,5
बिजलियों,बिजलियों,5
नगाड़े,नगाड़े,5
जगा,जगा,5
तरुणाई,तरुणाई,5
बदलते,बदलते,5
बूढ़ा,बूढ़ा,5
फौज,फौज,5
जाडे,जाड़े,5
दाँतों,दाँतों,4
